,Treated_1,Treated_2,Treated_3,Untreated_1,Untreated_2,Untreated_3,Untreated_4
ID=FBgn0000003,622.6723771163066,701.4070797455988,774.997213719598,533.262209939363,455.8769216072865,721.1311185947125,261.53036611312024
ID=FBgn0000008,206.30711289998112,187.29671339255773,151.23732034722252,211.18127340519018,251.55153602431662,191.6430643936633,191.2684767095954
ID=FBgn0000017,9611.410768861544,6243.860843402919,6083.351915459175,11446.26097529137,9722.804196985848,6980.154087657861,6820.282570017154
ID=FBgn0000018,527.6460705684366,506.4656025411,458.22650791770405,496.68891677980486,462.62351452747885,509.7310372532488,586.4916046044226
ID=FBgn0000032,1236.592331261099,1146.7145717911696,1114.3406539016744,1078.3222563818092,1174.8709671020765,1128.1256677193994,1512.582341325882
ID=FBgn0000042,97782.06943775833,126702.40422815933,125570.61650799638,84904.31017808893,88628.06359459036,89268.12967524628,110958.16126179145
ID=FBgn0000043,44347.276850524424,51344.144951949624,51397.36375919614,29337.680032217122,30756.753324168552,30047.45922506215,34433.205105602414
ID=FBgn0000044,1410.3904445525982,212.1421957813664,99.32003127280285,1029.9511267191679,104.09029076868275,159.04398642979274,223.47184268621095
ID=FBgn0000046,4006.1090286759973,839.0128283605392,645.5802032732186,4052.556838809097,475.15290137926473,481.08336267893833,608.9363748305486
ID=FBgn0000052,2379.4087021131154,2961.390381650696,2842.659682944312,2440.9723724879245,3110.1793362086964,3190.758237069755,3112.016184831121
ID=FBgn0000053,2053.0683598895093,3092.3069619301878,3053.338537159348,1623.3823028242552,2394.076687679703,2505.1897489810835,2354.749154593131
ID=FBgn0000057,738.9545680235688,890.6149840911419,869.0502736370249,802.252882209661,853.925903898638,855.4788338397548,786.5428174894586
ID=FBgn0000063,531.3971089847998,524.6219165944601,507.8865235541055,471.91346012333,413.4697661089342,433.6665220042175,486.9539279494291
ID=FBgn0000064,10674.204986831144,10693.113381952659,11502.313015661644,8958.097256791112,9289.094652116335,8534.043470602357,8295.782247491175
ID=FBgn0000071,756.4594139665975,778.8103133415028,869.0502736370249,127.4166342332991,137.82325536964476,136.32341693982235,80.0204851540144
ID=FBgn0000077,232.56438181452418,261.83316055898376,279.14948183492317,221.79932625796513,238.05835018393182,294.3795525222251,272.26482143865877
ID=FBgn0000078,61.26696080060046,93.64835669627887,108.34912502487583,153.37187454008227,266.00852085330035,309.19731523307536,188.34089798444853
ID=FBgn0000079,97.52699882544562,228.38731888174132,252.81462505804362,252.47370116598157,573.460398216354,483.05906437371834,302.5164682651764
