gene_id	gene_name	sampleGSM461176	sampleGSM461177	sampleGSM461178	sampleGSM461179	sampleGSM461180	sampleGSM461181	sampleGSM461182
FBgn0267594	CR45932	0	0	0	0	0	0	0
FBgn0259849	Su(Ste):CR42418	0	0	0	0	0	0	0
FBgn0085494	Mst77Y-16Psi	0	0	0	0	0	0	0
FBgn0085506	CG40635	0	0	0	0	0	0	0
FBgn0259870	Su(Ste):CR42439	0	0	0	0	0	0	0
FBgn0259817	SteXh:CG42398	0	2	5	0	2	2	1
FBgn0085511	lncRNA:CR40719	0	0	0	0	0	0	0
FBgn0259864	Su(Ste):CR42433	0	0	0	0	0	0	0
FBgn0259837	Su(Ste):CR42406	0	0	0	0	0	0	0
FBgn0085692	CG41561	1	0	0	1	0	0	0
FBgn0267595	CR45933	0	0	0	0	0	0	0
FBgn0085540	lncRNA:CR40947	0	0	0	0	0	0	0
FBgn0259842	Su(Ste):CR42411	0	0	0	0	0	0	0
FBgn0259839	Su(Ste):CR42408	0	0	0	0	0	0	0
FBgn0259840	Su(Ste):CR42409	0	0	0	0	0	0	0
FBgn0267596	CR45934	0	0	0	0	0	0	0
FBgn0031208	CR11023	15	8	2	16	4	4	1
FBgn0002121	l(2)gl	4612	4611	3287	3998	3175	3663	4366
FBgn0031209	Ir21a	1	2	0	3	0	4	2
FBgn0263584	asRNA:CR43609	1	2	0	2	0	4	2
FBgn0051973	Cda5	325	394	321	312	290	390	309
FBgn0267987	lncRNA:CR46254	0	0	0	0	0	0	1
FBgn0266878	lncRNA:CR45339	0	0	0	0	0	0	0
FBgn0266879	lncRNA:CR45340	0	0	0	0	0	0	0
FBgn0067779	dbr	869	690	640	814	573	685	758
FBgn0266322	asRNA:CR44987	227	239	229	275	284	275	302
FBgn0031213	galectin	894	1069	977	1157	892	1065	1129
FBgn0031214	CG11374	11	13	4	10	11	11	13
FBgn0002931	net	244	245	196	235	192	190	253
FBgn0031216	Zir	952	883	675	1017	711	774	1020
FBgn0031217	Creld	781	882	1062	828	1080	1492	1251
FBgn0026787	Nhe1	327	320	377	252	299	380	418
FBgn0005278	Sams	2661	2777	2709	2850	2647	3439	3176
FBgn0031228	ND-15	10145	10906	10740	9583	10482	12683	11034
FBgn0031219	CG13694	97	91	52	85	68	50	81
FBgn0031220	CG4822	3075	3029	2787	3700	3569	4071	3268
FBgn0288229	CG3164	5232	5899	5911	4120	4933	6228	6083
FBgn0266304	asRNA:CR44969	1578	1641	1779	1485	1419	1641	2020
